Wyoming Cheyenne
Wisconsin Madison
West_Virginia Charleston
Washington Olympia
Virginia Richmond
Vermont Montpelier
Utah Salt_Lake_City
Texas Austin
Tennessee Nashville
South_Dakota Pierre
South_Carolina Columbia
Rhode_Island Providence
Pennsylvania Harrisburg
Oregon Salem
Oklahoma Oklahoma_City
Ohio Columbus
North_Dakota Bismarck
North_Carolina Rayleigh
New_York Albany
New_Mexico Santa_Fe
New_Jersey Trenton
New_Hampshire Concord
Nevada Carson_City
Nebraska Lincoln
Montana Helena
Missouri Jefferson_City
Mississippi Jackson
Minnesota Saint_Paul
Michigan Lansing
Massachusetts Boston
Maryland Annapolis
Maine Augusta
Louisiana Baton_Rouge
Kentucky Frankfort
Kansas Topeka
Iowa Des_Moines
Indiana Indianapolis
Illinois Springfield
Idaho Boise
Hawaii Honolulu
Georgia Atlanta
Florida Tallahassee
Delaware Dover
Connecticut Hartford
Colorado Denver
California Sacramento
Arkansas Little_Rock
Arizona Phoenix
Alaska Juneau
Alabama Montgomery
